-3.17	-4.52	5.26	7.54	1.30	-4.80	-10.32	-3.30	-3.03	-2.16	-1.21	-3.04	-2.97
4.00	-1.76	6.56	4.98	-0.76	-4.34	-3.13	0.51	-0.05	-2.99	-1.41	-1.96	-2.09
0.03	-8.16	3.23	7.11	1.30	0.95	2.02	-3.82	-4.91	-2.34	-3.02	-4.69	-1.56
0.51	-7.98	4.84	9.68	0.07	3.48	1.87	-4.92	-8.25	-4.77	-0.35	-5.39	-2.05
-1.39	-8.13	4.48	5.90	-3.12	4.99	5.38	-1.68	-2.22	-5.64	-3.48	-9.42	-7.66
0.86	-3.77	4.26	6.38	-0.91	-1.59	1.76	-1.88	-1.04	-0.04	-1.27	-4.12	-5.83
4.92	-5.00	1.34	3.89	-3.30	0.16	3.94	-1.28	-2.92	-3.27	-1.17	-6.48	-6.55
3.19	-2.98	5.28	7.30	-1.02	1.56	1.54	3.73	-2.85	-5.81	-2.57	-2.95	-2.70
1.51	-3.83	0.02	0.16	-5.19	-3.07	4.27	4.21	-0.22	-1.27	0.09	-0.90	-1.61
0.77	1.78	0.66	2.11	2.65	-0.60	0.58	-0.38	-4.27	-5.77	-2.40	-2.26	-1.08
8.38	-4.50	3.83	0.44	1.48	4.14	0.98	2.55	-1.86	-3.41	5.54	4.24	0.31
8.86	-6.78	4.35	-0.74	-3.66	5.95	3.45	-3.38	-3.54	-1.75	7.35	-1.16	-4.77
10.91	-8.61	5.43	0.26	-4.39	2.81	1.23	-1.43	-3.34	-1.96	-0.36	2.43	-4.24
1.72	-11.32	6.36	1.28	-4.06	4.24	5.76	-0.55	-5.84	0.65	3.36	-0.08	-2.53
4.95	-9.86	6.91	-1.58	-7.81	4.48	-2.53	-3.89	-3.79	-0.96	1.22	-4.27	-3.75
5.62	-9.53	9.07	-0.34	-8.78	5.53	0.99	-3.12	-4.00	-3.98	-0.11	-2.81	-4.56
-0.37	-4.63	-0.43	0.11	-3.53	0.70	4.44	0.45	-0.83	1.65	0.89	0.39	0.44
0.76	-2.36	-1.10	-0.38	-1.32	7.49	4.32	-1.10	-2.07	-2.12	3.50	0.63	-3.14
5.24	-5.33	11.51	1.52	1.21	3.01	1.73	0.88	-2.27	-4.97	-1.43	-1.27	-1.10
5.34	-3.50	8.68	2.39	1.49	8.35	-0.57	-3.88	-2.48	0.07	0.60	-0.40	-4.29
6.34	-2.32	9.70	4.57	-3.97	4.57	4.42	-0.42	-1.93	-2.18	0.22	-0.41	-2.23
6.57	-3.27	8.74	2.48	-4.06	3.90	1.02	-3.75	-3.53	-1.52	-0.97	-0.17	1.99
6.81	-8.50	1.30	2.56	-2.27	6.41	-2.73	-5.08	-3.91	2.47	6.54	-0.58	-2.77
4.38	-8.00	1.20	2.73	1.08	3.40	-2.17	-4.50	0.34	3.35	4.80	0.36	-3.53
3.46	-10.69	-0.96	-2.76	-1.62	-2.39	-4.12	-3.53	-1.92	1.90	4.25	1.77	-1.62
3.11	-4.97	1.57	2.43	-1.67	-3.89	-0.83	-4.27	-4.96	5.08	3.82	1.32	-0.59
3.48	-7.76	3.67	-0.16	-4.94	-2.17	-2.64	-3.76	-3.51	4.48	5.57	1.83	0.94
6.12	-5.15	0.94	-1.99	-5.48	1.02	-4.57	-4.67	-6.37	1.01	4.31	0.61	-0.63
3.63	1.19	3.88	1.30	-0.34	2.20	-4.64	-9.35	-5.35	-3.78	1.39	3.27	2.82
10.33	-0.96	6.02	1.11	1.72	-0.08	-8.46	-8.17	-10.13	-0.99	3.97	1.60	-4.48
7.08	-0.15	3.14	0.88	-1.59	2.07	-7.28	-8.10	-7.22	-4.20	0.60	-1.57	-3.49
8.48	0.39	2.11	1.41	-4.60	-4.83	-2.87	-9.14	-6.20	-0.72	0.13	-2.39	-3.14
0.17	-7.67	0.29	0.61	-1.83	-0.52	1.11	-6.60	-5.17	0.25	3.30	2.78	-0.94
3.41	-5.19	0.04	2.58	-3.89	-0.02	-2.45	-7.37	-7.41	1.96	3.55	0.51	-3.31
7.57	-1.82	3.05	4.52	-0.71	2.93	5.36	-2.59	-5.15	-0.29	7.15	-0.83	-4.85
3.15	-9.37	0.55	2.71	-4.46	-0.02	-3.02	-6.92	-7.18	-1.81	3.22	0.76	3.55
